Link: https://twitter.com/officialavatar/status/1587781469191036928,,,,,,,
rest_id,like_count,quote_count,reply_count,retweet_count,bookmark_count,content,hashtags
1587792361072967680,10,0,0,0,0,@officialavatar So Beautiful 😢,[]
1587807822267359238,0,0,1,0,0,@officialavatar Screenshot this @pikaso_me,[]
1587784287486898176,1,0,0,0,0,@officialavatar Emanna timing ha ...🔥👌,[]
1587783681535770625,1,0,0,0,0,@officialavatar @JimCameron  🔥🔥🔥🔥🔥🔥🔥,[]
1587783194408910848,0,0,0,0,0,@officialavatar Pog can't wait !,[]
1587786267663777792,2,0,0,0,0,@officialavatar LO'AK AND TSIREYA I KNEW!!!!! I'M ALREADY LOVING,[]
1587784046687436806,53,0,0,3,0,@officialavatar Screaming https://t.co/jV4KDje5S3,[]
1587781766844219394,9,0,0,0,0,@officialavatar i have been waiting for this movie since the last one..i couldnt be happier,[]
1587983951095660545,0,0,0,0,0,@officialavatar Same shit in water instead of forest,[]
1589710593195331584,0,0,0,0,0,@officialavatar I watched Avatar again this weekend thinking that was 2009 technology and my 2021 TV that it was going to look not so great. Man was I wrong. I just had the HD version because Cameron won’t release 4K!!!! yet. But it was still a very very good movie. I can’t wait for the new one,[]
1587782665570496513,0,0,0,0,0,@officialavatar Yt lo Upload chei ra Sunta.,[]
1587783617505173506,0,0,0,0,0,@officialavatar Anthem lede,[]
1587784385318686720,1,0,0,0,0,@officialavatar 🔥🔥,[]
1587815979085611010,1,0,0,0,0,@officialavatar https://t.co/ODVg2FkbCF,[]
1587782145686536193,0,0,0,0,0,@officialavatar super,[]
1587785317444108293,565,0,2,13,3,@officialavatar https://t.co/rtNoVQyJ86,[]
1588660915947593728,0,0,0,0,0,"@officialavatar @avatartwotoken $AVATAR #AVATAR2 #CRYPTO #ETH #GEMS #VITALIK #ELON 

CA: 0x8198f65f8c75beaa7030f194bdf7850f72082afa

https://t.co/iPa53wN5nW","[{'indices': [40, 48], 'text': 'AVATAR2'}, {'indices': [49, 56], 'text': 'CRYPTO'}, {'indices': [57, 61], 'text': 'ETH'}, {'indices': [62, 67], 'text': 'GEMS'}, {'indices': [68, 76], 'text': 'VITALIK'}, {'indices': [77, 82], 'text': 'ELON'}]"
1587781981106208771,1,0,0,0,0,@officialavatar After winning #India 🇮🇳,"[{'indices': [30, 36], 'text': 'India'}]"
1587782284463292417,576,2,3,32,4,@officialavatar IM SO HAPPYYYYYY https://t.co/BEFkJxICKS,[]
1587782765360992256,0,0,0,0,0,@officialavatar #AvatarTheWayOfWater #Avatar #Avatar2Trailer #Avatar2 #Salaar #Prabhas,"[{'indices': [16, 36], 'text': 'AvatarTheWayOfWater'}, {'indices': [37, 44], 'text': 'Avatar'}, {'indices': [45, 60], 'text': 'Avatar2Trailer'}, {'indices': [61, 69], 'text': 'Avatar2'}, {'indices': [70, 77], 'text': 'Salaar'}, {'indices': [78, 86], 'text': 'Prabhas'}]"
1587861768621420547,0,0,1,0,0,"@officialavatar This movie needs to partner with VR makers for home release.

PSVR2, Meta Quest 2 or Pro, and the like will be the best place to experience this!",[]
1587784279983013890,1,0,0,0,0,@officialavatar I can't quite believe it's finally coming but my god it looks amazing. 🌏🐋💙,[]
1587783711097245703,0,0,2,0,0,@officialavatar Can anyone say on which YouTube channel I can watch,[]
1587783811236261888,0,0,0,0,0,@officialavatar Ramppp 💥💥💥,[]
1587781895810875393,4,0,0,0,1,@officialavatar Time sense leda ra unga🥲 https://t.co/9HYVQzfbEW,[]
1587784647395930117,2,0,0,0,0,@officialavatar The EPIC is back💙,[]
1587785153396363264,1,0,0,0,0,@officialavatar Get ready 😂 @Diluc333Za,[]
1587782741331828736,1,0,1,0,0,@officialavatar @vkey_talks here you go,[]
1587782427589726222,0,0,0,0,0,@officialavatar ✨💧❤️,[]
1587783328207634432,0,0,0,0,0,@officialavatar And it's here #AvatarTheWayOfWater,"[{'indices': [30, 50], 'text': 'AvatarTheWayOfWater'}]"
1587782816355741698,0,0,0,0,0,@officialavatar Waterr🌊🌊,[]
1587784312652722178,0,0,0,0,0,@officialavatar YouTube lo petti dhobbichukko,[]
1588136408518107136,0,0,0,0,0,"@officialavatar #UFC Bantamweight Grand Prix for an interim champ while Aljo is on ""vacation"":

Sean O'Malley vs Marlon Vera 2
Merab Dvalishvili vs Henry Cejudo
#MMA #MMATwitter https://t.co/BlcTG3EQQ2","[{'indices': [16, 20], 'text': 'UFC'}, {'indices': [161, 165], 'text': 'MMA'}, {'indices': [166, 177], 'text': 'MMATwitter'}]"
1587783385736519680,0,0,0,0,0,@officialavatar Amazing visuals for what will be a simple plot.,[]
1587782462137978880,0,0,0,0,0,@officialavatar @KicchhaCult Damn finally !!!!!!,[]
1587782224233070592,0,0,0,0,0,@officialavatar IM CRYIGN,[]
1587788151065817089,10,0,0,1,1,@officialavatar 🙏👏 https://t.co/fP1yT4LR6I,[]
1587795663856668673,1,0,1,0,0,@officialavatar @Cornelius_1st,[]
1587784022792765440,1,0,0,0,0,@officialavatar Nothing impressive except CGI,[]
1587816768310894593,2,0,0,0,0,@officialavatar This gonna be so fire. The better avatar let’s be real…😬,[]
1587789129806487553,1,0,1,0,0,@officialavatar Story is basic just like marvel and Dc buddy really think he be doing special shit,[]
1587784080187588608,0,0,0,0,0,@officialavatar Match ayevaraku wait chesava,[]
1587782883145666561,6,0,0,0,0,@officialavatar I really didn’t want another trailer but damn this looks beautiful. Now show the trailer at IMAX 3D showings of Black Panther 2 like what happened with the first trailer and Doctor Strange 2,[]
1587783171717857280,11,0,1,0,0,@officialavatar AAA ME CORRO,[]
1587783500631257088,0,0,0,0,0,@officialavatar Oh my.. https://t.co/SFu0hCml9B,[]
1587783160909234176,1,0,0,0,1,@officialavatar https://t.co/KRAQHBE1b3,[]
1587788047709765632,5,0,0,0,0,"@officialavatar Madly waiting for this masterpiece 💙

This is going to be huge 🔥🔥❤️‍🔥",[]
1587784196889935872,0,0,0,0,0,@officialavatar Thanks next part trailer ki time announce cheyi,[]
1587782736097738753,3,0,0,0,0,@officialavatar Tamil Language Trailer?,[]
1587825645907857409,0,0,0,0,0,@officialavatar Expensive cómic movie,[]
1587782656317685762,21,2,15,0,0,@officialavatar What’s the main characters name again?,[]
1587781805402632192,0,0,0,0,0,@officialavatar All the best 🥳,[]
1587786299628404736,1,0,0,0,0,@officialavatar Experience the woww🥹😍😍😍❤️❤️❤️,[]
1588215294266425346,1,0,0,0,0,"@officialavatar sorry i only know of one avatar, the real one https://t.co/V1fDeRwB0n",[]
1587787132889800704,4,0,0,0,0,@officialavatar Marvel ni lepi denguthunnam 💥💥,[]
1587782859313778690,0,0,0,0,0,@officialavatar 🥵🔥 MindBlowing,[]
1587783365465292800,0,0,0,0,0,@officialavatar rtc x roads lo 1 crore kotinappudu chuddam,[]
1587783552417923074,0,0,0,0,0,@officialavatar Waiting Mama..🌊 #AvatarTheWayOfWater,"[{'indices': [32, 52], 'text': 'AvatarTheWayOfWater'}]"
1587783696941187072,0,0,0,0,0,@officialavatar It's been to long! Can't wait,[]
1587794807644360705,70,2,29,5,1,"@officialavatar Are these the cgi that supposed to be ""mind blowing"" or ""game changer""? This is just bad https://t.co/NXhRcgJcBL",[]
1587782530911961088,3,0,2,0,0,"@officialavatar Batman's foot 🦶🏻&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt; Avatar
#AvatarTheWayOfWater 
#Batman https://t.co/MwSh1yehI5","[{'indices': [76, 96], 'text': 'AvatarTheWayOfWater'}, {'indices': [98, 105], 'text': 'Batman'}]"
1587786818333937666,1,0,0,0,0,@officialavatar avatar more like 😴😴😴,[]
1587782719517298688,0,0,0,0,0,@officialavatar 🔥,[]
1587785405553729536,2,0,1,1,0,@officialavatar @saithalasuresh,[]
1587784244960575490,0,0,0,0,0,"@officialavatar Spectacular one  and the visuals 🛐💥

Definitely Not going to miss it on FDFS 🥵💥

#AvatarTheWayOfTheWater #AvatarTrailer","[{'indices': [97, 120], 'text': 'AvatarTheWayOfTheWater'}, {'indices': [121, 135], 'text': 'AvatarTrailer'}]"
1587783233533517825,37,0,0,0,0,@officialavatar This looks so good! Can't wait! https://t.co/Qdz3FGK4eh,[]
1587783566427054081,0,0,0,0,0,@officialavatar Yes finally,[]
1587792056008990720,4,0,0,2,0,"@officialavatar We want #Kannada version
#Avatar2InKannada","[{'indices': [24, 32], 'text': 'Kannada'}, {'indices': [41, 58], 'text': 'Avatar2InKannada'}]"
1587783928425091072,0,0,0,0,0,@officialavatar Masss 🥳🥳🥳🔥🔥🔥🔥,[]
1587782387081121794,0,0,0,0,0,@officialavatar O M G,[]
1587902690960572419,0,0,0,0,0,@officialavatar ✨,[]
1587785594775683078,47,1,14,1,0,"@officialavatar Meh. I need something that isn't style over substance, which is the issue with the 1st movie. It may look nice, but a good story makes something timeless and better when you haven't got 3D Imax theatre experience to fall back on at home.",[]
1587783288781168644,5,0,0,4,0,"@officialavatar #saaho
#Pathaan 
#AvatarTheWayOfWater","[{'indices': [16, 22], 'text': 'saaho'}, {'indices': [23, 31], 'text': 'Pathaan'}, {'indices': [33, 53], 'text': 'AvatarTheWayOfWater'}]"
1587784894444457987,1,0,0,0,0,@officialavatar FUCK this looks so good,[]
1587784210630463489,1,0,0,0,0,"@officialavatar Eeyyy Deenthalli 🔥🔥🔥
THIS IS CINEMA",[]
1587783063018549254,1,0,0,0,0,@officialavatar 😍,[]
1588497659618549760,0,0,0,0,0,@officialavatar The brilliant Director who gave us the awesome Terminator II stunning special effects is back with more awesome special effects breakthroughs,[]
1587784079877234688,0,0,0,0,0,@officialavatar 😻❤️‍🔥🔥🥵,[]
1587783375300984835,0,0,0,0,0,"@officialavatar When the real world is this unpleasant, get me back to Pandora. Pronto.",[]
1587877739490689028,47,1,1,5,1,@officialavatar We can't wait to dive back in! 🌊,[]
1587784583625547778,3,0,0,0,0,@officialavatar My heart was not ready for all of this epicness and emotion. 😍,[]
1587784344353275905,0,0,0,0,0,@officialavatar Cameron thatha rocks,[]
1587781637307260930,50,0,2,0,0,@officialavatar DAY ONE! I’ve waited 13 years😍,[]
1587782423244582912,0,0,0,0,0,@officialavatar Poonakale theatre lo🔥🔥,[]
1587814508231286784,4,0,0,0,0,@officialavatar BOOOF https://t.co/YmUj4q4hgm,[]
1587792090964131840,2,0,0,0,0,@officialavatar My current students weren’t even born when the first Avatar came out! 🤯,[]
1587784319942418432,0,0,0,0,0,@officialavatar @MahaanISM_ 3 Billion loading,[]
1587800190664478720,4,0,0,0,0,"@officialavatar Em chestavo telidu ra
Jathini den***gali 
Sare na?

Avatar records ni malli nuvvey lepali",[]
1587785269109223424,16,0,1,0,0,@officialavatar 💥🥵🤙 blast waiting for movie,[]
1587782882961117186,4,0,0,0,1,@officialavatar https://t.co/fZzp9WuzkN,[]
1587782731228131329,0,0,0,0,0,@officialavatar #ThunivuPongal,"[{'indices': [16, 30], 'text': 'ThunivuPongal'}]"
1587782403707265024,0,0,0,0,0,@officialavatar I’m crying😭,[]
1587800167822016512,2,0,0,0,0,@officialavatar lets go,[]
1587783404854059012,3,1,0,0,0,@officialavatar https://t.co/QWBVdpGq8L,[]
