Link: https://twitter.com/OppenheimerFilm/status/1655467845571198978,,,,,,,
rest_id,like_count,quote_count,reply_count,retweet_count,bookmark_count,content,hashtags
1655469392262561797,181,0,3,3,1,@OppenheimerFilm I absolutely can’t wait to see this film. I’m ready to see this film.,[]
1655469352123240449,23,0,1,3,4,@OppenheimerFilm https://t.co/MsHqp2eBS7,[]
1655498405932572673,3,0,1,0,0,@OppenheimerFilm Einstein did a cameo ?,[]
1655467999464407041,0,0,0,0,0,@OppenheimerFilm Late watched the leak,[]
1655469997689565190,3,0,0,0,0,@OppenheimerFilm https://t.co/cd7h6IU7jt,[]
1655498543665401858,1,0,0,0,0,@OppenheimerFilm https://t.co/wJTMGaiolA,[]
1655608239499747329,69,0,1,4,0,@OppenheimerFilm The world waits and watches with tension.,[]
1655734547919654913,0,0,0,0,0,@OppenheimerFilm https://t.co/jl8JChq9zg,[]
1655470602621267970,0,0,0,0,0,@OppenheimerFilm HOLY SMOKES! SOOO GOOD!,[]
1655742526295273473,48,0,1,1,2,@OppenheimerFilm https://t.co/yVmMDh0U1y,[]
1655494821757456387,1,0,0,0,0,"@OppenheimerFilm I love how big directors like Nolan make movies on scientists, perhaps the most awaited movie ever",[]
1655471969599635457,1,0,0,0,0,@OppenheimerFilm https://t.co/Va4iU04jTE,[]
1655468273247371266,79,0,0,3,0,"@OppenheimerFilm Wake up Protagonist, new Oppenheimer trailer just dropped https://t.co/UlKLD2a2y1",[]
1655468607399419904,19,0,2,0,0,@OppenheimerFilm Can't wait,[]
1655467845571198978,88505,8654,1616,21523,3871,Watch the new trailer for #Oppenheimer - only in theaters 7 21 23. https://t.co/ZSrXov8Y3l,"[{'indices': [26, 38], 'text': 'Oppenheimer'}]"
1655468045135912960,10,0,0,0,0,@OppenheimerFilm https://t.co/d6QErRqJgD,[]
1655582150647848966,1,0,0,0,0,@OppenheimerFilm https://t.co/WRjZLqmyxZ,[]
1655469717136740355,21,0,0,1,1,@OppenheimerFilm https://t.co/RFwrdj7iQL,[]
1655468638588076035,9,0,0,1,3,@OppenheimerFilm We Will Be Watching. https://t.co/SjknEJ1ZtP,[]
1655566013939720193,36,0,4,1,0,@OppenheimerFilm Chance of this movie getting flop is ZERO.,[]
1655545242265833475,13,0,2,0,0,@OppenheimerFilm I saw this on the big screen preview before Guardians,[]
1674670172655812608,0,0,0,0,0,@OppenheimerFilm 🥂,[]
1657285158381428739,0,0,2,0,0,@OppenheimerFilm Oooo! Love this,[]
1655481061080715266,2,0,0,0,0,"@OppenheimerFilm This is just a wave of  fission(Movie).
#OppenheimerPresenta 
#Oppenheimer https://t.co/FBthNdaPWl","[{'indices': [57, 77], 'text': 'OppenheimerPresenta'}, {'indices': [79, 91], 'text': 'Oppenheimer'}]"
1656403445681893376,1,0,1,0,0,@OppenheimerFilm @RealJLorraine this looks really good,[]
1655472594370568193,1,0,0,0,0,@OppenheimerFilm This. Is. Cinema 🔥,[]
1655540655324577793,3,0,2,0,0,@OppenheimerFilm Absolutely stunning!,[]
1655472700477849600,27,0,1,1,2,@OppenheimerFilm Can't wait 🔥 https://t.co/TzGVzsZCZs,[]
1655745410453979136,11,0,2,1,0,@OppenheimerFilm FINALLY a movie worth seeing in the last 10 years. 🙄,[]
1655476579122954240,9,0,0,0,0,@OppenheimerFilm another peak cinema incoming https://t.co/XsB4hxOI3A,[]
1655470575941296130,0,0,0,0,0,@OppenheimerFilm https://t.co/BzvWZUL68A,[]
1655475675300495361,4,0,0,0,0,@OppenheimerFilm Nolan be like🔥🔥 https://t.co/gWL4rMxTkg,[]
1655475384174137345,164,0,7,4,0,@OppenheimerFilm Finally. I can’t wait to see it.,[]
1655491424027045890,2,0,2,0,0,"@OppenheimerFilm @ChrisG_TSU Is the countdown at the end Hiroshima? Do you think we are going to see it?

Also when the trailer began I thought I was watching The Batman.",[]
1655469679505473538,0,0,0,0,0,@OppenheimerFilm LETS FUCKIN GOOOOOOOOO,[]
1679015539736469505,1,0,0,0,0,@OppenheimerFilm So excited! Movies are back!,[]
1655469300982120448,1,0,0,0,0,@OppenheimerFilm HYPE,[]
1655472902836461569,9,0,1,0,0,@OppenheimerFilm https://t.co/vQSYftkIaV,[]
1655737000954134533,2,0,1,0,0,@OppenheimerFilm Can’t wait,[]
1655475950950416389,12,0,0,0,0,@OppenheimerFilm Enough this One 🌟 https://t.co/v2dW5AiAsh,[]
1655480275835469824,0,0,1,0,0,@OppenheimerFilm ♥,[]
1655739924740722688,1,0,0,0,0,@OppenheimerFilm Whoa! I'm there!!,[]
1655804195541508100,5,0,1,0,0,"@OppenheimerFilm You did it again, Christopher Nolan. 
You did it again. https://t.co/iqIegaKKkW",[]
1655489497675735040,3,0,0,0,0,@OppenheimerFilm Just give Cillian his Oscar already,[]
1655788009277587456,7,0,2,0,0,@OppenheimerFilm heard nolan detonated a real nuke to make the film realistic,[]
1656741643205111810,1,0,0,0,0,@OppenheimerFilm Wow! 🔥 #Oppenheimer,"[{'indices': [24, 36], 'text': 'Oppenheimer'}]"
1655551898437419008,56,0,9,0,0,@OppenheimerFilm Did people call it WWII while they were fighting the war?,[]
1655565595079852032,1,0,0,0,0,@OppenheimerFilm 🔥🔥🔥,[]
1655471419562823681,30,0,0,1,5,@OppenheimerFilm THIS IS CINEMA https://t.co/470OjiHzUi,[]
1655470826769235968,0,0,0,0,0,@OppenheimerFilm This looks unbelievable.,[]
1655477011454754822,86,0,1,8,5,@OppenheimerFilm https://t.co/JuB8MAI9KQ,[]
1655473058855960577,1,0,0,0,0,@OppenheimerFilm @MaverickBharat_,[]
1656338842801311745,0,0,0,0,0,"@OppenheimerFilm So stoked

I was gonna be crew
But I am blessed to see this",[]
